source,target,relationship
data_communications,transmission_medium,uses
data_communications,protocol,follows
data_communications,simplex,supports
data_communications,half_duplex,supports
data_communications,full_duplex,supports
network,router,contains
network,switch,contains
network,modem,contains
network,performance,depends_on
network,reliability,depends_on
network,security,depends_on
performance,throughput,contains
performance,delay,contains
network,point_to_point,uses
network,multipoint,uses
network,physical_topology,belongs_to
physical_topology,mesh_topology,contains
physical_topology,star_topology,contains
physical_topology,bus_topology,contains
physical_topology,ring_topology,contains
star_topology,hub,uses
ring_topology,repeater,uses
the_internet,lan,contains
the_internet,wan,contains
ethernet,bus_topology,uses
token_ring,ring_topology,uses
token_ring,ibm,developed_by
switching,circuit_switched,contains
switching,packet_switched,contains
packet_switched,router,uses
the_internet,isp,provides
isp,dsl,supports
isp,dial_up,supports
protocol_layering,tcp_ip_suite,implements
protocol_layering,osi_model,implements
dnssec,dns,secures
dnssec,digital_signature,uses
osi_model,physical_layer,contains
osi_model,data_link_layer,contains
osi_model,network_layer,contains
osi_model,transport_layer,contains
osi_model,session_layer,contains
osi_model,presentation_layer,contains
osi_model,application_layer,contains
tcp_ip_suite,network_access_layer,contains
tcp_ip_suite,internet_layer,contains
tcp_ip_suite,transport_layer,contains
tcp_ip_suite,application_layer,contains
ipv4,ip_address,belongs_to
ipv6,ip_address,belongs_to
subnet_mask,ipv4,supports
cidr,ipv4,supports
http,application_layer,operates_at
https,application_layer,operates_at
ftp,application_layer,operates_at
smtp,application_layer,operates_at
pop3,application_layer,operates_at
imap,application_layer,operates_at
tcp,transport_layer,operates_at
udp,transport_layer,operates_at
arp,ipv4,supports
arp,network_layer,operates_at
icmp,network_layer,belongs_to
dhcp,application_layer,operates_at
routing,router,uses
rip,distance_vector_routing,belongs_to
ospf,link_state_routing,belongs_to
router,routing,performs
firewall,network,secures
ssl,https,secures
tls,https,secures
vpn,the_internet,secures
