source,target,relationship
Operating_System,Kernel,contains
Operating_System,Process_Management,contains
Operating_System,CPU_Scheduling,contains
Operating_System,Memory_Management,contains
Operating_System,File_System,contains
Operating_System,OS_Security,contains
Kernel,System_Call,supports
Kernel,Kernel_Mode,uses
Operating_System,User_Mode,supports
Batch_System,Operating_System,belongs_to
Time_Sharing_System,Operating_System,belongs_to
Distributed_System,Operating_System,belongs_to
Real_Time_System,Operating_System,belongs_to
Multiprogramming,Operating_System,applied_in
Multitasking,Operating_System,applied_in
Process_Management,Process,manages
Process_Management,Thread,manages
Process_Management,IPC,uses
IPC,Shared_Memory,contains
IPC,Message_Passing,contains
Process,PCB,uses
Process,New_State,belongs_to
Process,Ready_State,belongs_to
Process,Running_State,belongs_to
Process,Waiting_State,belongs_to
Process,Terminated_State,belongs_to
Process_Management,Context_Switching,uses
CPU_Scheduling,FCFS_Scheduling,contains
CPU_Scheduling,SJF_Scheduling,contains
CPU_Scheduling,Priority_Scheduling,contains
CPU_Scheduling,Round_Robin_Scheduling,contains
CPU_Scheduling,Multilevel_Queue_Scheduling,contains
CPU_Scheduling,Turnaround_Time,evaluates
CPU_Scheduling,Waiting_Time,evaluates
CPU_Scheduling,Response_Time,evaluates
Process_Synchronization,Critical_Section,manages
Process_Synchronization,Semaphore,uses
Process_Synchronization,Mutex,uses
Process_Synchronization,Monitor,uses
Producer_Consumer_Problem,Process_Synchronization,depends_on
Readers_Writers_Problem,Process_Synchronization,depends_on
Dining_Philosophers_Problem,Process_Synchronization,depends_on
Deadlock,Resource_Allocation_Graph,uses
Deadlock_Prevention,Deadlock,prevents
Deadlock_Avoidance,Deadlock,prevents
Bankers_Algorithm,Deadlock_Avoidance,implements
Deadlock_Detection,Deadlock,detects
Deadlock_Recovery,Deadlock,recovers_from
Memory_Management,Paging,uses
Memory_Management,Segmentation,uses
Memory_Management,Virtual_Memory,supports
Virtual_Memory,Demand_Paging,uses
Demand_Paging,Page_Fault,generates
Demand_Paging,Page_Replacement,uses
Page_Replacement,FIFO_Page_Replacement,contains
Page_Replacement,LRU_Page_Replacement,contains
Page_Replacement,Optimal_Page_Replacement,contains
Thrashing,Virtual_Memory,occurs_in
File_System,Directory_Structure,contains
Directory_Structure,Hierarchical_Directory,contains
File_System,Contiguous_Allocation,implements
File_System,Linked_Allocation,implements
File_System,Indexed_Allocation,implements
Operating_System,Disk_Scheduling,manages
Disk_Scheduling,FCFS_Disk_Scheduling,contains
Disk_Scheduling,SSTF_Scheduling,contains
Disk_Scheduling,SCAN_Scheduling,contains
Disk_Scheduling,C_SCAN_Scheduling,contains
OS_Security,Authentication,uses
OS_Security,Authorization,uses
OS_Security,Access_Control,uses
OS_Security,Protection_Mechanism,implements
