source,target,relationship,subject
Merge_Sort,Algorithm,is_a,ADA
Quick_Sort,Algorithm,is_a,ADA
Binary_Search,Algorithm,is_a,ADA
Euclids_Algorithm,Algorithm,is_a,ADA
Dijkstras_Algorithm,Algorithm,is_a,ADA
Prims_Algorithm,Algorithm,is_a,ADA
Kruskals_Algorithm,Algorithm,is_a,ADA
Floyd_Warshall_Algorithm,Algorithm,is_a,ADA
Shellsort,Algorithm,is_a,ADA
Selection_Sort,Algorithm,is_a,ADA
Bubblesort,Algorithm,is_a,ADA
Insertion_Sort,Algorithm,is_a,ADA
Sieve_of_Eratosthenes,Algorithm,is_a,ADA
Strassens_Algorithm,Algorithm,is_a,ADA
Warshalls_Algorithm,Algorithm,is_a,ADA
Floyds_Algorithm,Algorithm,is_a,ADA
Divide_and_Conquer,Algorithm_Design_Technique,is_a,ADA
Greedy_Method,Algorithm_Design_Technique,is_a,ADA
Dynamic_Programming,Algorithm_Design_Technique,is_a,ADA
Backtracking,Algorithm_Design_Technique,is_a,ADA
Branch_and_Bound,Algorithm_Design_Technique,is_a,ADA
Prims_Algorithm,Minimum_Spanning_Tree,solves,ADA
Kruskals_Algorithm,Minimum_Spanning_Tree,solves,ADA
Dijkstras_Algorithm,Shortest_Path_Problem,solves,ADA
Merge_Sort,Time_Efficiency,analyzed_by,ADA
Quick_Sort,Time_Efficiency,analyzed_by,ADA
Binary_Search,Time_Efficiency,analyzed_by,ADA
Complexity_Analysis,O_notation,uses,ADA
Complexity_Analysis,Omega_notation,uses,ADA
Complexity_Analysis,Theta_notation,uses,ADA
Complexity_Analysis,Time_Efficiency,computes,ADA
Complexity_Analysis,Space_Efficiency,computes,ADA
Merge_Sort,Divide_and_Conquer,belongs_to,ADA
Quick_Sort,Divide_and_Conquer,belongs_to,ADA
Binary_Search,Divide_and_Conquer,belongs_to,ADA
Prims_Algorithm,Greedy_Method,belongs_to,ADA
Kruskals_Algorithm,Greedy_Method,belongs_to,ADA
Dijkstras_Algorithm,Greedy_Method,belongs_to,ADA
Floyd_Warshall_Algorithm,Dynamic_Programming,belongs_to,ADA
Warshalls_Algorithm,Dynamic_Programming,belongs_to,ADA
Floyds_Algorithm,Dynamic_Programming,belongs_to,ADA
Knapsack_Problem,Dynamic_Programming,solved_by,ADA
N_Queens_Problem,Backtracking,solved_by,ADA
Traveling_Salesman_Problem,Branch_and_Bound,solved_by,ADA
Euclid,Euclids_Algorithm,develops,ADA
Euclid,Elements_Book,authored,ADA
Eratosthenes,Sieve_of_Eratosthenes,develops,ADA
Joseph_Kruskal,Kruskals_Algorithm,develops,ADA
Anany_Levitin,Introduction_to_The_Design_and_Analysis_of_Algorithms_Book,authored,ADA
George_Polya,How_To_Solve_It_Book,authored,ADA
Algorithm,Random_Access_Machine,depends_on,ADA
John_von_Neumann,Random_Access_Machine,develops,ADA
