source,target,relationship
se,software_crisis,resolves
se,software_process,contains
se,sdlc,contains
se,project_management,supports
se,software_quality,evaluates
software_process,sdlc,implements
sdlc,process_models,contains
sdlc,feasibility_study,contains
sdlc,requirements_eng,contains
sdlc,software_design,contains
sdlc,implementation,contains
sdlc,software_testing,contains
sdlc,software_maintenance,contains
feasibility_study,technical_feasibility,contains
feasibility_study,economic_feasibility,contains
feasibility_study,operational_feasibility,contains
feasibility_study,schedule_feasibility,contains
requirements_eng,feasibility_study,follows
process_models,waterfall,contains
process_models,incremental,contains
process_models,prototype_model,contains
process_models,spiral,contains
process_models,rad,contains
process_models,agile,contains
process_models,devops,contains
agile,scrum,contains
agile,xp,contains
scrum,product_backlog,contains
scrum,sprint_backlog,contains
scrum,sprint,contains
scrum,daily_scrum,contains
scrum,burndown_chart,uses
requirements_eng,req_elicitation,contains
requirements_eng,req_analysis,contains
requirements_eng,req_validation,contains
requirements_eng,srs,produces
req_elicitation,interview,uses
req_elicitation,questionnaire,uses
req_elicitation,observation,uses
req_elicitation,brainstorming,uses
req_elicitation,jad,uses
req_analysis,functional_req,contains
req_analysis,non_functional_req,contains
req_analysis,system_modeling,uses
srs,functional_req,documents
srs,non_functional_req,documents
srs,software_design,depends_on
system_modeling,uml,uses
system_modeling,dfd,contains
system_modeling,er_diagram,contains
uml,use_case_diagram,contains
uml,class_diagram,contains
uml,sequence_diagram,contains
uml,activity_diagram,contains
uml,state_diagram,contains
use_case_diagram,actor,contains
software_design,software_architecture,contains
software_design,modular_design,contains
software_design,design_patterns,uses
software_design,design_document,produces
software_design,abstraction,contains
software_design,encapsulation,contains
software_design,inheritance,contains
software_design,polymorphism,contains
modular_design,cohesion,evaluates
modular_design,coupling,evaluates
design_document,implementation,depends_on
implementation,coding_standards,uses
implementation,code_review,contains
implementation,refactoring,contains
software_testing,unit_testing,contains
software_testing,integration_testing,contains
software_testing,system_testing,contains
software_testing,acceptance_testing,contains
software_testing,regression_testing,contains
software_testing,test_plan,documents
software_testing,test_case,produces
software_testing,defect,monitors
unit_testing,white_box,uses
integration_testing,black_box,uses
system_testing,black_box,uses
acceptance_testing,black_box,uses
acceptance_testing,alpha_testing,contains
acceptance_testing,beta_testing,contains
req_validation,acceptance_testing,validates
error,bug,belongs_to
bug,defect,belongs_to
defect,failure,belongs_to
software_quality,sqa,contains
software_quality,iso_9126,uses
software_quality,cmmi,follows
sqa,verification,contains
sqa,validation,contains
iso_9126,reliability,contains
iso_9126,maintainability,contains
iso_9126,availability,contains
verification,code_review,verifies
verification,design_document,verifies
validation,software_testing,validates
project_management,project_planning,contains
project_management,risk_management,monitors
project_management,scm,manages
project_planning,project_scheduling,contains
project_planning,wbs,uses
project_planning,cost_estimation,estimates
project_scheduling,wbs,depends_on
project_scheduling,gantt_chart,uses
project_scheduling,pert_chart,uses
project_scheduling,cpm,uses
cost_estimation,effort_estimation,contains
cost_estimation,loc,uses
cost_estimation,fp_analysis,uses
cost_estimation,cocomo,uses
cocomo,basic_cocomo,contains
cocomo,intermediate_cocomo,contains
cocomo,detailed_cocomo,contains
cocomo,effort_estimation,estimates
loc,cocomo,belongs_to
risk_management,risk_identification,contains
risk_management,risk_analysis,contains
risk_management,risk_mitigation,contains
scm,version_control,contains
scm,change_management,contains
version_control,git,uses
version_control,github,uses
version_control,svn,uses
software_maintenance,corrective_maintenance,contains
software_maintenance,adaptive_maintenance,contains
software_maintenance,perfective_maintenance,contains
software_maintenance,preventive_maintenance,contains
software_maintenance,software_evolution,contains
software_evolution,legacy_system,belongs_to
project_manager,project_management,manages
project_manager,project_planning,manages
project_manager,test_plan,documents
software_engineer,software_design,implements
software_engineer,implementation,implements
software_engineer,unit_testing,implements
software_engineer,system_modeling,uses
tester,software_testing,implements
tester,test_case,produces
tester,test_plan,follows
customer,stakeholder,belongs_to
customer,req_elicitation,supports
customer,acceptance_testing,validates
stakeholder,feasibility_study,evaluates
stakeholder,srs,validates
software_maintenance,user_manual,uses
implementation,version_control,uses
change_management,software_maintenance,supports
test_plan,test_case,contains
