source,target,relationship
Data_Structure,Primitive_Data_Structure,consists_of
Data_Structure,Non_Primitive_Data_Structure,consists_of
Primitive_Data_Structure,Integer,contains
Primitive_Data_Structure,Float,contains
Primitive_Data_Structure,Character,contains
Primitive_Data_Structure,Pointer,contains
Non_Primitive_Data_Structure,Linear_Data_Structure,consists_of
Non_Primitive_Data_Structure,Non_Linear_Data_Structure,consists_of
Linear_Data_Structure,Array,contains
Linear_Data_Structure,Linked_List,contains
Linear_Data_Structure,Stack,contains
Linear_Data_Structure,Queue,contains
Non_Linear_Data_Structure,Tree,contains
Non_Linear_Data_Structure,Graph,contains
Array,One_Dimensional_Array,extends
Array,Two_Dimensional_Array,extends
Array,Sparse_Matrix,implements
Linked_List,Singly_Linked_List,extends
Linked_List,Doubly_Linked_List,extends
Linked_List,Circular_Linked_List,extends
Linked_List,Sparse_Matrix,implements
Stack,Push,supports
Stack,Pop,supports
Queue,Enqueue,supports
Queue,Dequeue,supports
Queue,Circular_Queue,extends
Queue,Priority_Queue,extends
Queue,Deque,extends
Tree,Binary_Tree,extends
Binary_Tree,Binary_Search_Tree,extends
Binary_Search_Tree,AVL_Tree,extends
Binary_Tree,Heap,extends
Heap,Min_Heap,consists_of
Heap,Max_Heap,consists_of
Graph,Directed_Graph,extends
Graph,Undirected_Graph,extends
Graph,Adjacency_Matrix,stores
Graph,Adjacency_List,stores
Data_Structure,Operation,supports
Operation,Create,belongs_to
Operation,Destroy,belongs_to
Operation,Selection,belongs_to
Operation,Updating,belongs_to
Operation,Searching,belongs_to
Operation,Sorting,belongs_to
Searching,Sequential_Search,consists_of
Searching,Binary_Search,consists_of
Sorting,Bubble_Sort,consists_of
Sorting,Selection_Sort,consists_of
Sorting,Insertion_Sort,consists_of
Sorting,Merge_Sort,consists_of
Sorting,Quick_Sort,consists_of
Hashing,Hash_Table,stores
Hashing,Linear_Probing,uses
Hashing,Quadratic_Probing,uses
Hashing,Double_Hashing,uses
Hashing,Chaining,uses
DFS,Graph,traverses
BFS,Graph,traverses
Inorder_Traversal,Binary_Tree,traverses
Preorder_Traversal,Binary_Tree,traverses
Postorder_Traversal,Binary_Tree,traverses
Stack,Expression_Evaluation,applied_in
Stack,Function_Call,applied_in
Stack,Parenthesis_Matching,applied_in
Queue,CPU_Scheduling,applied_in
Queue,Printer_Scheduling,applied_in
Recursion,Tower_of_Hanoi,performs
String,Pattern_Matching,supports
KMP_Algorithm,Pattern_Matching,implements
Binary_Search,Array,searches
Selection_Sort,Array,sorts
Binary_Search,Recursion,uses
