id,label,type,subject
se,Software Engineering,Core Discipline,SEPM
software_process,Software Process,Core Discipline,SEPM
software_crisis,Software Crisis,Concept,SEPM
sdlc,Software Development Life Cycle (SDLC),Framework,SEPM
feasibility_study,Feasibility Study,Phase,SEPM
technical_feasibility,Technical Feasibility,Feasibility Type,SEPM
economic_feasibility,Economic Feasibility,Feasibility Type,SEPM
operational_feasibility,Operational Feasibility,Feasibility Type,SEPM
schedule_feasibility,Schedule Feasibility,Feasibility Type,SEPM
process_models,Software Process Models,Category,SEPM
waterfall,Waterfall Model,Process Model,SEPM
incremental,Incremental Model,Process Model,SEPM
prototype_model,Prototype Model,Process Model,SEPM
spiral,Spiral Model,Process Model,SEPM
rad,RAD Model,Process Model,SEPM
agile,Agile Model,Process Model,SEPM
scrum,Scrum,Agile Framework,SEPM
xp,Extreme Programming (XP),Agile Framework,SEPM
devops,DevOps,Framework,SEPM
product_backlog,Product Backlog,Agile Artifact,SEPM
sprint_backlog,Sprint Backlog,Agile Artifact,SEPM
sprint,Sprint,Agile Process,SEPM
daily_scrum,Daily Scrum,Agile Ceremony,SEPM
burndown_chart,Burndown Chart,Agile Tool,SEPM
requirements_eng,Requirement Engineering,Phase,SEPM
req_elicitation,Requirement Elicitation,Activity,SEPM
interview,Interview,Elicitation Technique,SEPM
questionnaire,Questionnaire,Elicitation Technique,SEPM
observation,Observation,Elicitation Technique,SEPM
brainstorming,Brainstorming,Elicitation Technique,SEPM
jad,JAD (Joint Application Design),Elicitation Technique,SEPM
req_analysis,Requirement Analysis,Activity,SEPM
req_validation,Requirement Validation,Activity,SEPM
functional_req,Functional Requirements,Requirement Type,SEPM
non_functional_req,Non-Functional Requirements,Requirement Type,SEPM
srs,Software Requirement Specification,Document,SEPM
system_modeling,System Modeling,Activity,SEPM
uml,Unified Modeling Language (UML),Standard,SEPM
use_case_diagram,Use Case Diagram,UML Diagram,SEPM
actor,Actor,UML Element,SEPM
class_diagram,Class Diagram,UML Diagram,SEPM
sequence_diagram,Sequence Diagram,UML Diagram,SEPM
activity_diagram,Activity Diagram,UML Diagram,SEPM
state_diagram,State Diagram,UML Diagram,SEPM
er_diagram,Entity-Relationship (ER) Diagram,Data Diagram,SEPM
dfd,Data Flow Diagram (DFD),Data Diagram,SEPM
software_design,Software Design,Phase,SEPM
software_architecture,Software Architecture,Concept,SEPM
modular_design,Modular Design,Concept,SEPM
cohesion,Cohesion,Design Metric,SEPM
