source,target,relationship
Merge_Sort,Algorithm,is_a
Quick_Sort,Algorithm,is_a
Binary_Search,Algorithm,is_a
Euclids_Algorithm,Algorithm,is_a
Dijkstras_Algorithm,Algorithm,is_a
Prims_Algorithm,Algorithm,is_a
Kruskals_Algorithm,Algorithm,is_a
Floyd_Warshall_Algorithm,Algorithm,is_a
Shellsort,Algorithm,is_a
Selection_Sort,Algorithm,is_a
Bubblesort,Algorithm,is_a
Insertion_Sort,Algorithm,is_a
Sieve_of_Eratosthenes,Algorithm,is_a
Strassens_Algorithm,Algorithm,is_a
Warshalls_Algorithm,Algorithm,is_a
Floyds_Algorithm,Algorithm,is_a
Divide_and_Conquer,Algorithm_Design_Technique,is_a
Greedy_Method,Algorithm_Design_Technique,is_a
Dynamic_Programming,Algorithm_Design_Technique,is_a
Backtracking,Algorithm_Design_Technique,is_a
Branch_and_Bound,Algorithm_Design_Technique,is_a
Prims_Algorithm,Minimum_Spanning_Tree,solves
Kruskals_Algorithm,Minimum_Spanning_Tree,solves
Dijkstras_Algorithm,Shortest_Path_Problem,solves
Merge_Sort,Time_Efficiency,analyzed_by
Quick_Sort,Time_Efficiency,analyzed_by
Binary_Search,Time_Efficiency,analyzed_by
Complexity_Analysis,O_notation,uses
Complexity_Analysis,Omega_notation,uses
Complexity_Analysis,Theta_notation,uses
Complexity_Analysis,Time_Efficiency,computes
Complexity_Analysis,Space_Efficiency,computes
Merge_Sort,Divide_and_Conquer,belongs_to
Quick_Sort,Divide_and_Conquer,belongs_to
Binary_Search,Divide_and_Conquer,belongs_to
Prims_Algorithm,Greedy_Method,belongs_to
Kruskals_Algorithm,Greedy_Method,belongs_to
Dijkstras_Algorithm,Greedy_Method,belongs_to
Floyd_Warshall_Algorithm,Dynamic_Programming,belongs_to
Warshalls_Algorithm,Dynamic_Programming,belongs_to
Floyds_Algorithm,Dynamic_Programming,belongs_to
Knapsack_Problem,Dynamic_Programming,solved_by
N_Queens_Problem,Backtracking,solved_by
Traveling_Salesman_Problem,Branch_and_Bound,solved_by
Euclid,Euclids_Algorithm,develops
Euclid,Elements_Book,authored
Eratosthenes,Sieve_of_Eratosthenes,develops
Joseph_Kruskal,Kruskals_Algorithm,develops
Anany_Levitin,Introduction_to_The_Design_and_Analysis_of_Algorithms_Book,authored
George_Polya,How_To_Solve_It_Book,authored
Algorithm,Random_Access_Machine,depends_on
John_von_Neumann,Random_Access_Machine,develops
Sieve_of_Eratosthenes,Array,uses
Sieve_of_Eratosthenes,Linked_List,interacts_with
Prims_Algorithm,Priority_Queue,uses
Dijkstras_Algorithm,Priority_Queue,uses
Priority_Queue,Min_Heap,contains
Priority_Queue,Fibonacci_Heap,contains
Backtracking,State_Space_Tree,uses
Shellsort,Insertion_Sort,uses
Quick_Sort,Insertion_Sort,interacts_with
Robert_Sedgewick,Quick_Sort,develops
