source,target,relationship
Machine_Learning,Artificial_Intelligence,belongs_to
Deep_Learning,Machine_Learning,belongs_to
Data_Science,Machine_Learning,uses
Data_Mining,Data_Science,belongs_to
Data_Analytics,Data_Science,belongs_to
Pattern_Recognition,Machine_Learning,extends
Machine_Learning,Statistics,depends_on
Machine_Learning,Supervised_Learning,contains
Machine_Learning,Unsupervised_Learning,contains
Machine_Learning,Semi_Supervised_Learning,contains
Machine_Learning,Reinforcement_Learning,contains
Supervised_Learning,Classification,contains
Supervised_Learning,Regression,contains
Unsupervised_Learning,Clustering,contains
Unsupervised_Learning,Dimensionality_Reduction,contains
Linear_Regression,Regression,belongs_to
Logistic_Regression,Classification,belongs_to
Decision_Tree,Classification,belongs_to
Random_Forest,Classification,belongs_to
KNN,Classification,belongs_to
Naive_Bayes,Classification,belongs_to
SVM,Classification,belongs_to
KMeans,Clustering,belongs_to
Hierarchical_Clustering,Clustering,belongs_to
PCA,Dimensionality_Reduction,belongs_to
Neural_Network,Deep_Learning,implements
Perceptron,Neural_Network,belongs_to
CNN,Deep_Learning,belongs_to
RNN,Deep_Learning,belongs_to
Neural_Network,Input_Layer,contains
Neural_Network,Hidden_Layer,contains
Neural_Network,Output_Layer,contains
Model,Training_Data,trained_on
Model,Testing_Data,evaluates
Training_Data,Feature,contains
Training_Data,Label,contains
Classification,Accuracy,evaluates
Classification,Precision,evaluates
Classification,Recall,evaluates
Classification,F1_Score,evaluates
Classification,Confusion_Matrix,uses
Gradient_Descent,Model,optimizes
Gradient_Descent,Neural_Network,optimizes
Model,Bias_Variance_Tradeoff,depends_on
Bias_Variance_Tradeoff,Overfitting,contains
Bias_Variance_Tradeoff,Underfitting,contains
Cross_Validation,Overfitting,supports
Machine_Learning,Sentiment_Analysis,applied_in
Machine_Learning,Recommendation_Systems,applied_in
Machine_Learning,Voice_Assistants,applied_in
Machine_Learning,Image_Processing,applied_in
Machine_Learning,CRISP_DM,uses
CNN,Image_Processing,applied_in
Machine_Learning,Data_Preprocessing,uses
Data_Preprocessing,Normalization,contains
Data_Preprocessing,Standardization,contains
Data_Preprocessing,Missing_Value_Handling,contains
Feature_Selection,Feature_Engineering,belongs_to
Feature_Extraction,Feature_Engineering,belongs_to
Reinforcement_Learning,Agent,contains
Reinforcement_Learning,Environment,contains
Reinforcement_Learning,Reward,contains
Reinforcement_Learning,Policy,contains
Neural_Network,Activation_Function,uses
Activation_Function,ReLU,contains
Activation_Function,Sigmoid,contains
Activation_Function,Softmax,contains
